,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.061977266189430745,1.1978162402462764,3.1013805596385975,4.281973249631781,0.09952569663603647,0.0,0.0,0.10646007748820385,0.08972038843013926,0.12354519502848027,2.335743818405196,2.2674662858766714,2.4061165606833366
bs_delta,-0.12700342720489002,0.27852654676900107,0.7600761490300931,0.994807172374734,0.03168122083548672,2.913766090669614,0.1797379259980927,-0.08252061590611692,-0.08498309098296794,-0.08027182858467691,-0.005560592203308623,-0.016080658088877937,0.006327395764114413
leland,-0.12317232467021294,0.27702597799493006,0.7535786134297582,0.9792189813948441,0.031968756115922765,2.8430006876200133,0.17611846141331675,-0.07868951337143984,-0.08114015623272376,-0.0766446716115599,-0.01205812780364357,-0.022737963114709377,-0.0010674034634684535
whalley_wilmott,-0.04448281129877311,0.3151894527959905,0.7656367412334018,1.0198442975607915,0.03393534414203865,1.3060773220886988,0.09748767683663344,,,,,,
deep_hedge_es5_s0,-0.08341666664274866,0.2685815047851219,0.6633903390685653,0.8742099757711418,0.028538867594218906,2.107184931597905,0.13774916272630663,-0.03893385534397555,-0.04144015553654254,-0.03644993300239792,-0.10224640216483649,-0.11251523407516123,-0.09161245934990796
deep_hedge_es5_s1,-0.08048200035597441,0.27030874872602945,0.6600561051425924,0.8714121106113961,0.029247946144132675,2.05451440840867,0.13456860654868857,-0.03599918905720131,-0.03832907109275197,-0.0336976806965879,-0.10558063609080937,-0.11552061448791671,-0.09550542282900713
deep_hedge_es5_s2,-0.08313755555506216,0.27561360833107695,0.666102253897675,0.8804218779284381,0.028990965568503908,2.11276871436637,0.13748693709779813,-0.03865474425628906,-0.04129289844581929,-0.03607055814900351,-0.09953448733572678,-0.11113224484559928,-0.08805959082930627
ppo_s0,-0.0459560198009412,0.3695205559499708,0.8701219323529276,1.2095899892911859,0.035403170471639225,1.452624605069682,0.10227965362489123,-0.0014732085021680955,-0.005325402761526137,0.0024445099899457353,0.10448519111952581,0.08569074984368613,0.1249854758954399
ppo_s1,-0.05157009671687189,0.3552811049102011,0.8812482046651663,1.221150580343247,0.0346687731083865,1.5432375730309635,0.10712077083549425,-0.0070872854180987835,-0.01093487464003457,-0.0032614248073754093,0.11561146343176454,0.09615548358656727,0.1360432000206707
ppo_s2,-0.04161999684182576,0.41223382355809146,0.9500512099252952,1.271063726662769,0.03413613772917389,1.3934725410060025,0.09681497558592929,0.0028628144569473463,-0.002518690385401928,0.008221926205033937,0.18441446869189349,0.16456950846589716,0.20400591324633166
sac_s0,-0.06896439142409574,0.42181338593367607,1.0460102016110955,1.4096282983458528,0.0403259429398672,1.9026925052851438,0.1221474843135891,-0.024481580125322637,-0.029580371854620792,-0.019551646402611006,0.28037346037769373,0.2606445756303125,0.30081491676302585
sac_s1,-0.05170279417925953,0.4077832875992013,0.9501086407153104,1.2242056339552156,0.03579511438564464,1.671712258335948,0.10727803344921791,-0.00721998288048642,-0.012306781932677709,-0.0020783375009835684,0.18447189948190867,0.1684803616228522,0.2024698710388475
sac_s2,-0.07576975738896274,0.4782396725225281,1.1134836702769733,1.4979494140440368,0.036924830667528157,1.9516094567716122,0.12951555691285563,-0.031286946090189637,-0.037641063363463574,-0.02445317781558129,0.3478469290435715,0.3254354818474942,0.3696133173817646
