,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.009797656078581863,0.7598495019746907,1.9887558115499246,2.9286253840292216,0.06556780291225163,0.0,0.0,0.07584442008012972,0.06393175431423306,0.08963119686989128,1.3659661779467793,1.3132743547991155,1.4152489177944974
bs_delta,-0.11837878521460359,0.22791955587934465,0.6794280384265498,0.8847392001113471,0.015252761130752081,5.911314076617893,0.11691115353855153,-0.05233202121305573,-0.05409870555119139,-0.05051083326026792,0.05663840482340443,0.04701777868880591,0.0667810431008059
leland,-0.11577522407306198,0.20773646457257638,0.634668008471788,0.8309448594442099,0.013699801205220465,5.774868103098331,0.11451718263186812,-0.04972846007151413,-0.05140952178359496,-0.04811647948285732,0.011878374868642627,0.0025150431726140344,0.021629257137597675
whalley_wilmott,-0.06604676400154785,0.21641292784484126,0.6227896336031453,0.847118315716055,0.015263613028983518,2.8025550814117026,0.06378936307838187,,,,,,
delta_gamma_weekly,-0.13638155268938973,0.08653734620577422,0.372623270969873,0.4895080370679137,0.004837622282755664,4.064440380428487,0.13543726531875078,-0.07033478868784188,-0.07287330342785868,-0.06773857749311445,-0.2501663626332723,-0.26207661415255323,-0.23787389484180196
deep_hedge_es5_s0,-0.07436306118881901,0.11199712426889884,0.3365674489960369,0.449813525459375,0.008684763239641805,1.8259086885490652,0.07432794991421414,-0.008316297187271157,-0.011021910263071139,-0.0055412500929045445,-0.2862221846071084,-0.2973297657053492,-0.27495212719922313
deep_hedge_es5_s1,-0.07426964339096223,0.11355897878138015,0.3559239222576476,0.4778192684345191,0.008815752364975758,1.720225193477141,0.07422598944695917,-0.008222879389414378,-0.010851587157440078,-0.00553345188846065,-0.26686571134549775,-0.2778902270393895,-0.25536647707928417
deep_hedge_es5_s2,-0.07452144613865011,0.10537155581903543,0.32025154299988934,0.43191319469517203,0.0077220978070295454,1.7192737186051381,0.07479463852288246,-0.008474682137102257,-0.011078609981504464,-0.005805534500766648,-0.302538090603256,-0.3134151786971439,-0.29158521754724287
ppo_s0,-0.0851264727006711,0.24141986960536843,0.628191174069048,0.801981344508587,0.019561603651837994,2.378794417462312,0.08337627508355372,-0.019079708699123246,-0.021362192347754716,-0.01663115683031662,0.005401540465902688,-0.00558861501916476,0.01606766748558138
ppo_s1,-0.073223360471148,0.3875040328509801,0.9722751886872499,1.450247590026916,0.03241164148915849,1.8716155468913493,0.07237997684986631,-0.007176596469600144,-0.012196262970389761,-0.0016347092258237937,0.3494855550841046,0.32201543845822006,0.37583289192305946
ppo_s2,-0.12773628212481458,0.502179188331237,1.1356110512653492,1.3946121905245366,0.042276710576024765,2.2263748173528293,0.12415146738365439,-0.06168951812326673,-0.06764843450084577,-0.05599305375420689,0.5128214176622039,0.4968631490625137,0.528610027264377
sac_s0,-0.2177032075387875,0.5739537918658301,1.320389108939405,1.5611989083987527,0.050174878585368815,5.979042907208204,0.2149368102798336,-0.15165644353723964,-0.15904122553547378,-0.14426482133654633,0.6975994753362598,0.6802480492805453,0.7147512343914763
sac_s1,-0.2590973725711414,1.026446714258671,2.0772942060551842,2.5689935303592404,0.0856109430352325,6.912100943043828,0.24900218623555348,-0.19305060856959355,-0.20715857266808663,-0.18043690526691994,1.454504572452039,1.4286117512555443,1.478772661757775
sac_s2,-0.21813202578733107,0.8334748305224128,1.6425862918858833,1.9939848835093952,0.0712872504613323,5.892434323109686,0.20916531092362628,-0.15208526178578322,-0.16267811326048748,-0.14203999650039217,1.019796658282738,0.9989768053968312,1.0404041824611305
