,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,-0.0027317095473290776,0.7726954234709236,2.0204313734331456,2.8074763387552775,0.06163671661557004,0.0,0.0,0.07470035156231664,0.06571034716440113,0.08338874421242834,0.9754699867258922,0.9224881097565603,1.0262243407303901
bs_delta,-0.16009158456187866,0.2964169101007632,1.1342292744744122,1.8267527384454683,0.011746132057563795,4.205306711211946,0.15514850213294454,-0.08265952345223294,-0.08468387262287616,-0.08056010561448723,0.08926788776715888,0.07498012198396649,0.10221072167035933
leland,-0.15609606319874417,0.29829206128999936,1.1175297823155141,1.7866255447355872,0.013021000801259935,4.076759644700236,0.15105638203841304,-0.07866400208909845,-0.08054213936476567,-0.07675648044981269,0.07256839560826078,0.058865280035281416,0.08438501133111014
whalley_wilmott,-0.07743206110964572,0.3360015275925659,1.0449613867072534,1.6696260452809693,0.01820862565880176,1.5193785185898199,0.07252333818628372,,,,,,
delta_gamma_weekly,-0.18373198393355147,0.10986590827129926,0.40347728263264854,0.7381901461418837,0.004659866728840207,3.1321227468881068,0.17660531566869506,-0.10629992282390575,-0.11129294806308351,-0.10116157758977143,-0.6414841040746049,-0.6704162634236215,-0.6110658633395986
deep_hedge_es5_s0,-0.10276922411635142,0.16112425071720424,0.4970065876004187,0.7523697759969511,0.010189101478840053,1.5923069036048692,0.09518340988708142,-0.0253371630067057,-0.02839918917162627,-0.022204046078540676,-0.5479547991068346,-0.5721317315747395,-0.5242470701928325
deep_hedge_es5_s1,-0.1026185582847505,0.16959390016922452,0.5267383082173686,0.7898581860509255,0.010510594622035423,1.4853512035011371,0.09464618798294318,-0.02518649717510478,-0.028316625614920515,-0.022032440952093082,-0.5182230784898848,-0.5416437462636063,-0.4951720321160494
deep_hedge_es5_s2,-0.10220094091777616,0.1566845637606568,0.4830809665525509,0.7489188422352328,0.01020119263715457,1.5244279666946277,0.09510819422172609,-0.024768879808130445,-0.02781757720230338,-0.021683938569671764,-0.5618804201547025,-0.5856136464365516,-0.5387764290289497
ppo_s0,-0.10437783724362362,0.3643472230192264,1.1306109521518992,1.7559023215024163,0.021627735844249235,1.8108641653786182,0.09691914831392433,-0.026945776133977903,-0.03033662304850262,-0.023588770856074418,0.08564956544464586,0.061892319348316634,0.10781560049258121
ppo_s1,-0.09047436020634785,0.4372165028438856,1.1320876221836083,1.5930195314485502,0.03491216269722406,1.476926618534373,0.08554595778682185,-0.013042299096702126,-0.018046246621908124,-0.007905836234348708,0.0871262354763549,0.059088861607398194,0.11441775748189012
ppo_s2,-0.13286832862689957,0.5075801107132,1.257672440282355,1.7957644649071869,0.03878789478865076,1.6493323162573796,0.12576693256457178,-0.05543626751725385,-0.062128029605683546,-0.04893868944088064,0.21271105357510156,0.18485182836463032,0.2424894781126504
sac_s0,-0.24802793598809794,0.6840829735072487,1.6248560090753936,2.2040726530844963,0.05808334939187518,4.081377109833062,0.23652845728812236,-0.17059587487845224,-0.18071795724325668,-0.16111078931599024,0.5798946223681403,0.5401035306640685,0.6186995015725821
sac_s1,-0.308725672131166,0.8398869654663808,1.9217388066024965,2.720278677064422,0.06309765309758386,5.673647583119571,0.29494435226810417,-0.23129361102152024,-0.24271875895829162,-0.21961093485119976,0.8767774198952432,0.8335615808269299,0.9183660848842902
sac_s2,-0.24011491997565462,0.6874520716979581,1.5720318759501632,2.097671462815653,0.05652279588567738,4.335619154058397,0.23085936091829085,-0.16268285886600892,-0.17360247142538676,-0.15272990078845555,0.5270704892429099,0.48707308035815255,0.5643979132308329
