,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.2135008156708417,0.6312222922867247,1.5813126218286748,2.6076685596772067,0.20824954909551233,0.0,0.0,0.13072621597570525,0.12327062404260304,0.13840205592569327,0.8010867765030936,0.7491958128466233,0.8523669265475907
bs_delta,-0.053112401291676235,0.299204315022422,0.8611332453329098,1.2911361355351125,0.18800483216842429,9.305638375506424,0.26241060025439245,-0.1358870009868127,-0.13749664030782535,-0.13430311591891952,0.08090740000732854,0.07332000285262542,0.0887361416550817
leland,-0.03916987881551526,0.30012732219433774,0.8582792886723417,1.294319999014256,0.18815228060838332,8.760985421891313,0.24834692965384128,-0.12194447851065171,-0.12351427915086008,-0.12040979422476042,0.07805344334676045,0.07073700951532459,0.0859712008225696
whalley_wilmott,0.08277459969513645,0.31564766314890447,0.7802258453255813,1.2281031482625793,0.18882006422343436,3.9869022354390786,0.12587101861824507,,,,,,
delta_gamma_weekly,-0.8866479806473119,0.6028453660993165,2.512800418036489,3.520779924427602,0.1649134478222859,7.357265034032549,0.2696833255298024,-0.9694225803424483,-0.9794099738581095,-0.9601789463842614,1.7325745727109076,1.6753502295517035,1.78650492611619
deep_hedge_es5_s0,-0.20627497763121955,0.6381241145903689,1.9175313441925101,2.580270598137064,0.05576115290477348,2.7810749553311034,0.12097184653867041,-0.289049577326356,-0.2981345168271545,-0.28061567828308337,1.1373054988669289,1.0962719411407464,1.1796846687243552
deep_hedge_es5_s1,-0.34233627376004416,0.7499821633426553,2.3565361075368028,3.2208949284722848,0.053704154880938736,2.5401293035762937,0.11947744432031018,-0.4251108734551806,-0.43605441208487006,-0.41520364012839706,1.5763102622112215,1.5250004625929554,1.62701817026338
deep_hedge_es5_s2,-0.4624396491756888,0.6483099474671079,2.229423430859905,3.0136078854244888,0.045783761608074354,2.3024467681065253,0.10900325012571066,-0.5452142488708253,-0.554630866320055,-0.5362409895464457,1.4491975855343235,1.401367948450348,1.497892971194371
ppo_s0,1.1551434322697518,0.69869375695867,0.43540972241226794,1.0156701493965432,0.1473595272671063,3.1799950305492386,0.13710660842502215,1.0723688325746155,1.0635602798058297,1.0817130322271977,-0.3448161229133133,-0.37261208866599843,-0.31511104944405816
ppo_s1,1.5356032860877453,0.7223703798984807,0.003125195652825184,0.41350743918665417,0.16538050821808326,2.3633088172565913,0.1352397135209682,1.4528286863926088,1.4431930509837672,1.4632629241235782,-0.777100649672756,-0.8024090263761162,-0.75108718989286
ppo_s2,0.956852168303112,0.6661008185054281,0.5606491857177486,1.4350735348009656,0.24517689369137666,5.402590591984597,0.2286527305306313,0.8740775686079756,0.8649953722788402,0.8836410971867966,-0.21957665960783268,-0.25974660738177585,-0.1765175239558449
sac_s0,0.8144936416072839,2.006104712908524,4.782840647384504,8.603357257310284,0.287059995720245,15.372588688991964,0.5499460345470457,0.7317190419121474,0.7046243676954612,0.7598938758433039,4.002614802058924,3.7998796456389985,4.201859460162634
sac_s1,3.6050237313683415,2.5448458297874152,-0.1907442907527539,0.6200926885927791,0.3832892958729668,12.24872627067566,0.44948336953852247,3.522249131673205,3.4862256490460233,3.554691661195015,-0.9709701360783352,-1.0212956796800643,-0.9117465627884412
sac_s2,0.49910472780731413,2.3592202101566855,6.411395665112004,10.233320910493772,0.27973444086815424,12.242572073221206,0.4450425538540696,0.4163301281121777,0.38461608705230294,0.44645245242191506,5.6311698197864235,5.4270681357949515,5.85300066176504
